train_index,average_score
348,-1647.7406005859375
349,6736.89208984375
350,38544.1328125
351,-2118.65576171875
352,9284.5029296875
353,4438.8037109375
354,-1962.6136474609375
355,19649.5703125
356,17131.076171875
357,6951.93115234375
358,9047.427734375
359,24575.18359375
360,9697.240234375
361,24396.64453125
362,648.9191284179688
363,-2511.0166015625
364,40311.03125
365,23478.189453125
366,10523.0810546875
367,6927.0654296875
368,15593.6484375
369,19058.46875
370,-1521.7197265625
371,25521.28515625
372,12940.2880859375
373,28312.78125
374,24613.568359375
375,64899.32421875
376,5459.07421875
377,9388.4912109375
378,26657.041015625
379,5002.4248046875
380,15804.3310546875
381,8980.78125
382,7247.3408203125
383,42627.0703125
384,8756.9189453125
385,-1424.326904296875
386,5089.42626953125
387,4578.76416015625
388,-376.4979553222656
389,-1126.5689697265625
390,3097.10986328125
391,9653.5966796875
392,179.71044921875
393,4057.751220703125
394,-646.0305786132812
395,4084.42822265625
396,18588.037109375
397,1427.116943359375
398,15215.333984375
399,14787.333984375
400,-466.05029296875
401,11321.109375
402,7150.66259765625
403,-4663.1220703125
404,12589.0078125
405,15986.703125
406,9256.8896484375
407,1566.373291015625
408,34340.8984375
409,3452.95166015625
410,25193.0546875
411,11897.03125
412,3410.7265625
413,45154.03515625
414,8817.490234375
415,43524.28125
416,8217.009765625
417,9609.8076171875
418,8476.134765625
419,-189.50576782226562
420,28425.275390625
421,6923.98046875
422,-4427.6201171875
423,39331.62109375
424,15977.390625
425,29115.255859375
426,10396.771484375
427,29045.60546875
428,44478.69921875
429,2706.7880859375
430,456.16680908203125
431,22839.2421875
432,43964.57421875
433,4558.251953125
434,26168.208984375
435,-3939.74755859375
436,25366.34375
437,9850.666015625
438,11866.4814453125
439,11359.314453125
440,9000.8408203125
441,30283.599609375
442,10557.60546875
443,17736.35546875
444,45521.7109375
445,13994.0205078125
446,17230.66015625
447,12571.8828125
448,19621.583984375
449,1175.427978515625
450,16030.0673828125
451,2570.31982421875
452,-2642.39990234375
453,11235.11328125
454,34121.60546875
455,2140.763916015625
456,1520.8388671875
457,1463.5682373046875
458,20654.400390625
459,29007.96484375
460,12280.693359375
461,14198.328125
462,55509.7109375
463,55092.84375
464,28333.94921875
465,42751.265625
466,8502.4111328125
467,327.30450439453125
468,19777.08984375
469,30753.57421875
470,16785.5390625
471,4986.0712890625
472,14630.9189453125
473,2379.041259765625
474,21012.46875
475,34580.9296875
476,760.223876953125
477,17132.05859375
478,7588.6455078125
479,14980.025390625
480,1268.737060546875
481,27456.650390625
482,5697.1904296875
483,6088.2666015625
484,9975.142578125
485,12508.8916015625
486,7842.95068359375
487,411.10009765625
488,11585.822265625
489,9301.3740234375
490,-5003.88134765625
491,2382.29345703125
492,3137.403564453125
493,25596.94140625
494,15708.9716796875
495,13781.515625
496,-198.75270080566406
497,43849.0625
498,16852.70703125
499,-11593.259765625
500,13702.9404296875
501,39442.96484375
502,13910.203125
503,6393.23193359375
504,21277.5078125
505,36600.35546875
506,29066.51953125
507,-2523.307373046875
508,33439.19140625
509,25620.451171875
510,15139.353515625
511,2200.67333984375
512,18424.27734375
513,24021.05859375
514,12596.462890625
515,16858.787109375
516,1792.801513671875
517,14038.1904296875
518,24409.330078125
519,16217.044921875
520,18196.91796875
521,10604.2861328125
522,3756.27392578125
523,15807.5859375
524,1957.5198974609375
525,-148.3625030517578
526,-1092.406494140625
527,10199.099609375
528,18846.58984375
529,-3430.79052734375
530,21764.134765625
531,8510.607421875
532,56072.42578125
533,35701.8203125
534,2241.98388671875
535,24723.185546875
536,474.92889404296875
537,31776.599609375
538,18331.24609375
539,7864.2216796875
540,25771.9453125
541,6542.1904296875
542,2151.76806640625
543,6219.4794921875
544,7863.3642578125
545,946.1199951171875
546,561.1749267578125
547,13126.9921875
548,8961.7734375
549,22555.783203125
550,14424.2734375
551,107357.203125
552,-3869.34619140625
553,17221.841796875
554,6470.02978515625
555,16012.7529296875
556,22272.28515625
557,12044.9443359375
558,23456.5390625
559,5352.03076171875
560,6795.19384765625
561,2810.150390625
562,58799.2421875
563,4493.171875
564,40920.9140625
565,49307.7578125
566,-466.50567626953125
567,8854.982421875
568,40206.61328125
569,26593.46484375
570,3227.31982421875
571,23367.38671875
572,6453.7392578125
573,4223.8525390625
574,6532.99462890625
575,3339.275390625
576,15763.0517578125
577,25820.984375
578,3156.140380859375
579,543.7017822265625
580,63.463645935058594
581,-3927.877685546875
582,19895.08203125
583,3124.90283203125
584,20350.9453125
585,2305.910888671875
586,23218.08984375
587,105.02783203125
588,49109.4140625
589,9154.505859375
590,17538.03125
591,11348.8701171875
592,-569.9203491210938
593,3232.433349609375
594,6846.7685546875
595,26146.041015625
596,6969.66796875
597,668.9517822265625
598,5028.80517578125
599,3198.31640625
600,23181.697265625
601,12402.8828125
602,8354.1171875
603,11346.064453125
604,13674.3671875
605,-1144.453857421875
606,-780.6006469726562
607,11116.3974609375
608,7404.94677734375
609,10231.423828125
610,26908.53125
611,15239.9091796875
612,28249.462890625
613,16745.55859375
614,43746.32421875
615,4572.4423828125
616,4471.9736328125
617,11916.515625
618,8951.025390625
619,9032.3642578125
620,17970.19140625
621,-1528.552490234375
622,3878.685546875
623,2847.942626953125
624,5626.09912109375
625,5445.6962890625
626,11090.6943359375
627,5405.58203125
628,10127.025390625
629,29735.78515625
630,15591.310546875
631,16384.896484375
632,7747.0908203125
633,710.423828125
634,-1649.5224609375
635,2729.75439453125
636,-1722.1136474609375
637,26516.109375
638,16555.716796875
639,2609.7265625
640,-3338.30517578125
641,16090.994140625
642,29112.212890625
643,-5750.6796875
644,46237.50390625
645,27332.63671875
646,-4675.82421875
647,-3434.08984375
648,22611.052734375
649,6292.3154296875
650,33994.36328125
651,21773.20703125
652,3338.1171875
653,5987.79443359375
654,5005.302734375
655,14704.5185546875
656,444.9306640625
657,13004.923828125
658,45729.2890625
659,-4667.1962890625
660,2880.45068359375
661,15497.666015625
662,17050.033203125
663,-2126.883544921875
664,42630.33203125
665,6359.38427734375
666,28419.119140625
667,10982.80859375
668,6591.0361328125
669,17513.078125
670,12330.15625
671,11525.853515625
672,41801.453125
673,2169.396484375
674,44229.078125
675,1040.716796875
676,9952.6220703125
677,3632.999267578125
678,3773.22900390625
679,53054.4140625
680,11609.99609375
681,-679.4282836914062
682,-620.6666259765625
683,20248.14453125
684,-4791.66357421875
685,10252.298828125
686,5053.02880859375
687,23484.326171875
688,5958.4755859375
689,14942.9326171875
690,12777.0205078125
691,8551.5283203125
692,16248.501953125
693,20626.203125
694,3884.225341796875
695,-2130.037841796875
696,7063.21240234375
697,29695.634765625
698,20186.96875
699,110724.859375
700,11652.091796875
701,28587.90625
702,9106.56640625
703,12857.791015625
704,2712.4501953125
705,14259.8251953125
706,41061.73828125
707,-3027.95849609375
708,18182.34375
709,28492.68359375
710,22490.029296875
711,-3225.673828125
712,38391.875
713,18965.833984375
714,2353.396728515625
715,43285.828125
716,12756.3427734375
717,40602.4453125
718,27844.15625
719,10126.412109375
720,-468.8111267089844
721,127456.125
722,1125.131591796875
723,15158.6669921875
724,35926.67578125
725,16691.14453125
726,2356.43212890625
727,21238.759765625
728,7553.9619140625
729,40220.05859375
730,23838.50390625
731,126435.890625
732,45339.79296875
733,54344.1015625
734,942.0162353515625
735,57867.40625
736,13643.3544921875
737,46185.82421875
738,22616.1171875
739,41396.6875
740,11133.65234375
741,5609.1396484375
742,18181.349609375
743,13940.2783203125
744,23189.95703125
